,Name of movie,Year of release,Gross collection,Movie Rating,Director,Popularity
178,Kids vs. Aliens,2023,Unknown,6.0,Unknown,95.391
179,"Monsters, Inc.",2001,Unknown,7.8,Unknown,114.513
180,Just Retired 2,2022,Unknown,4.5,Unknown,103.629
181,Creed II,2018,Unknown,7.0,Unknown,107.543
182,The Price We Pay,2023,Unknown,5.9,Unknown,103.694
183,Harry Potter and the Half-Blood Prince,2009,Unknown,7.7,Unknown,107.397
184,After,2019,Unknown,7.1,Unknown,105.35
185,Transformers: Age of Extinction,2014,Unknown,5.9,Unknown,104.329
186,The Northman,2022,Unknown,7.1,Unknown,95.152
187,Nocebo,2022,Unknown,6.2,Unknown,107.72
188,Shark Bait,2022,Unknown,5.8,Unknown,122.144
189,Coraline,2009,Unknown,7.8,Unknown,123.786
190,The Black Phone,2022,Unknown,7.8,Unknown,107.526
191,Orphan: First Kill,2022,Unknown,6.8,Unknown,102.471
192,The Hunger Games: Mockingjay - Part 1,2014,Unknown,6.8,Unknown,107.793
193,Ranma ½: The Movie 3 — The Super Non-Discriminatory Showdown: Team Ranma vs. the Legendary Phoenix,1994,Unknown,7.7,Unknown,110.482
194,The Ledge,2022,Unknown,6.6,Unknown,111.132
195,Interstellar,2014,Unknown,8.4,Unknown,113.892
196,The Lion King,1994,Unknown,8.3,Unknown,106.827
197,Harry Potter and the Goblet of Fire,2005,Unknown,7.8,Unknown,105.22
198,Hocus Pocus 2,2022,Unknown,7.4,Unknown,108.98
199,Cruella,2021,Unknown,8.1,Unknown,120.018
